Protein 1	Protein 2	Integrated score	evidence: Protein co-expression	evidence: Co-dependence	evidence: Sequence similarity	evidence: Physical	evidence: mRNA co-expression	edge_role
CENPA	KIF22	0.379	0.042	0.226	0.006	0.21	0.534	core
CENPA	KIF23	0.657	0.0	0.104	0.004	0.216	0.628	core
CENPA	KIFC1	0.545	0.045	0.023	0.191	0.1	0.636	core
CENPA	KNL1	0.361	0.002	0.017	0.007	0.179	0.587	core
CENPA	KNSTRN	0.41	0.001	0.021	0.08	0.134	0.571	core
CENPA	KPNA2	0.356	0.0	0.087	0.011	0.206	0.527	core
CENPA	LRR1	0.322	0.02	0.068	0.036	0.211	0.518	core
CENPA	MAD2L1	0.601	0.043	0.044	0.342	0.196	0.606	core
CENPA	MCM2	0.415	0.038	0.033	0.087	0.311	0.544	core
CENPA	MCM3	0.332	0.001	0.164	0.01	0.241	0.486	core
CENPA	MCM4	0.396	0.001	0.096	0.115	0.368	0.536	core
CENPA	MCM6	0.356	0.051	0.064	0.011	0.29	0.513	core
CENPA	MCM7	0.306	0.006	0.136	0.006	0.199	0.493	core
CENPA	MCM10	0.327	0.001	0.177	0.235	0.216	0.476	core
CENPA	MELK	0.46	0.053	0.095	0.011	0.115	0.571	core
CENPA	MIS18A	0.659	0.048	0.421	0.003	0.507	0.542	core
CENPA	MKI67	0.53	0.042	0.154	0.012	0.214	0.574	core
CENPA	MTFR2	0.373	0.02	0.055	0.036	0.04	0.552	core
CENPA	MYBL2	0.379	0.002	0.075	0.166	0.217	0.556	core
CENPA	NCAPD2	0.46	0.044	0.089	0.012	0.214	0.536	core
CENPA	NCAPD3	0.388	0.007	0.194	0.001	0.21	0.524	core
CENPA	NCAPG	0.625	0.006	0.157	0.012	0.204	0.614	core
CENPA	NCAPG2	0.303	0.045	0.164	0.12	0.212	0.482	core
CENPA	NCAPH	0.613	0.0	0.22	0.008	0.219	0.651	core
CENPA	NDC80	0.65	0.04	0.115	0.117	0.207	0.642	core
CENPA	NEK2	0.664	0.003	0.229	0.128	0.227	0.664	core
CENPA	NPM1	0.556	0.05	0.113	0.086	0.48	0.485	core
CENPA	NUF2	0.544	0.037	0.041	0.003	0.177	0.644	core
CENPA	NUP37	0.341	0.005	0.085	0.071	0.218	0.47	core
CENPA	NUSAP1	0.466	0.007	0.151	0.167	0.067	0.64	core
CENPA	OIP5	0.695	0.04	0.536	0.088	0.495	0.578	core
CENPA	ORC1	0.395	0.007	0.155	0.137	0.214	0.523	core
CENPA	ORC6	0.329	0.053	0.065	0.115	0.155	0.512	core
CENPA	PBK	0.351	0.048	0.116	0.111	0.139	0.535	core
CENPA	PCLAF	0.496	0.047	0.02	0.013	0.211	0.539	core
CENPA	PCNA	0.376	0.005	0.028	0.0	0.211	0.513	core
CENPA	PIF1	0.306	0.044	0.112	0.0	0.047	0.496	core
CENPA	PKMYT1	0.315	0.044	0.163	0.008	0.191	0.52	core
CENPA	PLK1	0.627	0.002	0.024	0.003	0.214	0.662	core
CENPA	POC1A	0.338	0.003	0.026	0.008	0.102	0.536	core
CENPA	POLA1	0.324	0.039	0.005	0.113	0.206	0.438	core
CENPA	POLA2	0.381	0.039	0.016	0.194	0.191	0.54	core
CENPA	POLE	0.304	0.004	0.002	0.013	0.155	0.479	core
CENPA	POLE2	0.381	0.038	0.034	0.086	0.152	0.54	core
CENPA	PRC1	0.633	0.0	0.047	0.008	0.2	0.644	core
CENPA	PRIM1	0.34	0.051	0.258	0.015	0.19	0.517	core
CENPA	PRR11	0.367	0.041	0.073	0.002	0.119	0.526	core
CENPA	PSMA8	0.302	0.04	0.039	0.084	0.127	0.429	core
CENPA	PSRC1	0.365	0.046	0.169	0.115	0.179	0.544	core
CENPA	PTTG1	0.448	0.046	0.162	0.013	0.191	0.566	core
CENPA	RACGAP1	0.6	0.005	0.132	0.008	0.235	0.628	core
CENPA	RAD21	0.33	0.002	0.112	0.169	0.234	0.448	core
CENPA	RAD51	0.387	0.041	0.145	0.125	0.216	0.556	core
CENPA	RAD51AP1	0.371	0.047	0.037	0.193	0.127	0.57	core
CENPA	RAD54L	0.326	0.004	0.098	0.01	0.067	0.566	core
CENPA	RAN	0.345	0.001	0.018	0.015	0.211	0.448	core
CENPA	RANBP1	0.308	0.042	0.16	0.153	0.19	0.465	core
CENPA	RECQL4	0.306	0.043	0.004	0.072	0.118	0.492	core
CENPA	RFC3	0.326	0.042	0.251	0.111	0.222	0.512	core
CENPA	RFC4	0.318	0.048	0.116	0.014	0.195	0.482	core
CENPA	RFC5	0.368	0.045	0.116	0.181	0.197	0.519	core
CENPA	RNASEH2A	0.321	0.042	0.318	0.086	0.103	0.546	core
CENPA	RPA3	0.327	0.003	0.073	0.0	0.3	0.482	core
CENPA	RRM2	0.523	0.002	0.02	0.118	0.178	0.619	core
CENPA	RUVBL1	0.463	0.007	0.033	0.163	0.464	0.368	core
CENPA	SASS6	0.375	0.039	0.377	0.087	0.214	0.466	core
CENPA	SGO1	0.546	0.051	0.001	0.113	0.216	0.596	core
CENPA	SGO2	0.356	0.006	0.017	0.106	0.103	0.56	core
CENPA	SHCBP1	0.358	0.02	0.13	0.036	0.194	0.493	core
CENPA	SKA1	0.57	0.039	0.125	0.198	0.211	0.576	core
CENPA	SKA2	0.376	0.051	0.084	0.003	0.211	0.525	core
CENPA	SKA3	0.608	0.053	0.019	0.001	0.22	0.608	core
CENPA	SLF1	0.35	0.052	0.002	0.164	0.212	0.432	core
CENPA	SMC2	0.475	0.005	0.023	0.137	0.209	0.567	core
CENPA	SMC4	0.357	0.04	0.077	0.001	0.215	0.546	core
CENPA	SNCA	0.346	0.007	0.02	0.316	0.237	0.447	core
CENPA	SPAG5	0.543	0.005	0.035	0.096	0.243	0.585	core
CENPA	SPC24	0.405	0.003	0.04	0.1	0.206	0.512	core
CENPA	SPC25	0.623	0.004	0.122	0.094	0.206	0.655	core
CENPA	SSRP1	0.519	0.002	0.138	0.138	0.48	0.387	core
CENPA	STIL	0.452	0.045	0.364	0.161	0.182	0.59	core
CENPA	STMN1	0.414	0.046	0.095	0.141	0.176	0.541	core
CENPA	SUPT16H	0.589	0.041	0.019	0.131	0.528	0.379	core
CENPA	SUV39H1	0.311	0.004	0.004	0.166	0.18	0.437	core
CENPA	TACC3	0.39	0.038	0.074	0.001	0.202	0.555	core
CENPA	TERT	0.391	0.043	0.037	0.0	0.079	0.525	core
CENPA	TIMELESS	0.37	0.038	0.033	0.004	0.244	0.513	core
CENPA	TIPIN	0.301	0.003	0.019	0.009	0.238	0.472	core
CENPA	TK1	0.308	0.002	0.028	0.087	0.167	0.466	core
CENPA	TNF	0.354	0.051	0.024	0.014	0.136	0.46	core
CENPA	TOP2A	0.645	0.006	0.1	0.154	0.201	0.63	core
CENPA	TPX2	0.672	0.043	0.05	0.071	0.197	0.664	core
CENPA	TROAP	0.493	0.02	0.039	0.036	0.202	0.593	core
CENPA	TTK	0.562	0.0	0.032	0.084	0.312	0.63	core
CENPA	TUBB	0.366	0.005	0.051	0.088	0.195	0.499	core
CENPA	TYMS	0.34	0.045	0.034	0.106	0.07	0.56	core
CENPA	UBE2C	0.501	0.038	0.025	0.014	0.126	0.595	core
CENPA	UBE2S	0.312	0.004	0.069	0.005	0.22	0.488	core
CENPA	UBE2T	0.36	0.003	0.138	0.011	0.13	0.559	core
CENPA	UHRF1	0.332	0.007	0.012	0.075	0.239	0.463	core
CENPA	VRK1	0.303	0.005	0.162	0.114	0.22	0.472	core
CENPA	XRCC2	0.347	0.001	0.239	0.01	0.191	0.481	core
CENPA	ZWILCH	0.325	0.05	0.328	0.078	0.1	0.558	core
CENPA	ZWINT	0.435	0.038	0.284	0.072	0.07	0.601	core
CENPB	CENPC	0.355	0.34	0.031	0.342	0.179	0.165	core
CENPB	CTCF	0.714	0.327	0.069	0.12	0.188	0.148	core
CENPB	DEK	0.303	0.43	0.162	0.008	0.172	0.175	core
CENPB	HSPA1A	0.306	0.051	0.02	0.107	0.185	0.393	core
CENPB	IFNG	0.352	0.077	0.032	0.007	0.124	0.416	core
CENPB	INCENP	0.384	0.178	0.036	0.342	0.188	0.178	core
CENPB	KIF2C	0.4	0.166	0.026	0.342	0.396	0.126	core
CENPB	SMARCAD1	0.331	0.161	0.049	0.19	0.448	0.122	core
CENPC	KIF2C	0.326	0.13	0.041	0.342	0.177	0.284	core
CENPE	CENPF	0.632	0.222	0.035	0.077	0.223	0.639	core
CENPE	CENPH	0.336	0.268	0.035	0.016	0.188	0.539	core
CENPE	CENPI	0.515	0.297	0.004	0.158	0.188	0.567	core
CENPE	CENPK	0.354	0.102	0.047	0.002	0.173	0.572	core
CENPE	CENPL	0.424	0.137	0.028	0.211	0.181	0.508	core
CENPE	CENPM	0.317	0.099	0.101	0.007	0.178	0.445	core
CENPE	CENPN	0.418	0.116	0.052	0.013	0.184	0.522	core
CENPE	CENPO	0.324	0.074	0.101	0.248	0.183	0.502	core
CENPE	CENPQ	0.361	0.086	0.021	0.009	0.184	0.479	core
CENPE	CENPS	0.312	0.006	0.02	0.012	0.174	0.278	core
CENPE	CENPU	0.403	0.127	0.189	0.078	0.193	0.565	core
CENPE	CENPW	0.323	0.004	0.058	0.004	0.176	0.491	core
CENPE	CEP55	0.621	0.283	0.024	0.013	0.187	0.6	core
CENPE	CEP128	0.302	0.098	0.025	0.082	0.371	0.358	core
CENPE	CEP131	0.321	0.147	0.08	0.147	0.423	0.334	core
CENPE	CEP152	0.316	0.085	0.015	0.264	0.174	0.5	core
CENPE	CEP170	0.351	0.209	0.094	0.104	0.431	0.221	core
CENPE	CHAF1A	0.324	0.214	0.013	0.008	0.181	0.482	core
CENPE	CHEK1	0.506	0.208	0.039	0.002	0.183	0.53	core
CENPE	CHEK2	0.344	0.151	0.077	0.002	0.188	0.45	core
CENPE	CIT	0.309	0.153	0.028	0.005	0.176	0.48	core
CENPE	CKAP2	0.45	0.273	0.036	0.125	0.187	0.546	core
CENPE	CKAP2L	0.536	0.083	0.08	0.092	0.096	0.625	core
CENPE	CKAP5	0.307	0.115	0.035	0.011	0.184	0.528	core
CENPE	CKS2	0.357	0.143	0.043	0.036	0.188	0.502	core
CENPE	CLP1	0.317	0.137	0.021	0.0	0.431	0.154	core
CENPE	CLSPN	0.414	0.082	0.089	0.101	0.184	0.515	core
CENPE	CORO1C	0.348	0.213	0.036	0.004	0.432	0.197	core
CENPE	DEPDC1	0.401	0.045	0.075	0.003	0.181	0.528	core
CENPE	DLGAP5	0.615	0.091	0.124	0.016	0.179	0.66	core
CENPE	DNA2	0.341	0.053	0.003	0.159	0.124	0.48	core
CENPE	DSCC1	0.35	0.127	0.175	0.113	0.185	0.483	core
CENPE	DTL	0.46	0.202	0.092	0.103	0.184	0.532	core
CENPE	DYNC1H1	0.357	0.233	0.028	0.167	0.433	0.179	core
CENPE	E2F7	0.34	0.071	0.055	0.013	0.139	0.499	core
CENPE	ECT2	0.515	0.165	0.086	0.001	0.188	0.564	core
CENPE	ERCC6L	0.416	0.162	0.012	0.093	0.184	0.58	core
CENPE	ESCO2	0.327	0.057	0.063	0.007	0.173	0.546	core
CENPE	EXO1	0.335	0.07	0.147	0.009	0.19	0.509	core
CENPE	FAM83D	0.489	0.113	0.02	0.006	0.199	0.572	core
CENPE	FAM122B	0.315	0.227	0.008	0.036	0.428	0.224	core
CENPE	FANCA	0.528	0.07	0.102	0.007	0.465	0.425	core
CENPE	FANCI	0.331	0.1	0.054	0.007	0.174	0.55	core
CENPE	FBXO5	0.422	0.006	0.116	0.168	0.183	0.576	core
CENPE	FEN1	0.369	0.164	0.031	0.109	0.178	0.512	core
CENPE	FOXM1	0.391	0.039	0.12	0.265	0.175	0.543	core
CENPE	GEN1	0.31	0.062	0.015	0.116	0.098	0.487	core
CENPE	GSG2	0.455	0.052	0.119	0.123	0.187	0.505	core
CENPE	GTSE1	0.611	0.185	0.161	0.1	0.194	0.614	core
CENPE	H2AFX	0.309	0.146	0.116	0.335	0.185	0.425	core
CENPE	HAUS2	0.399	0.141	0.024	0.016	0.395	0.368	core
CENPE	HAUS8	0.324	0.213	0.119	0.004	0.183	0.466	core
CENPE	HIST1H4A	0.345	0.003	0.15	0.09	0.179	0.42	core
CENPE	HJURP	0.581	0.147	0.05	0.114	0.192	0.592	core
CENPE	HMMR	0.546	0.199	0.149	0.152	0.205	0.628	core
CENPE	INCENP	0.401	0.212	0.169	0.007	0.187	0.509	core
CENPE	IQGAP3	0.338	0.302	0.025	0.124	0.187	0.431	core
CENPE	ITGB3BP	0.327	0.003	0.016	0.003	0.182	0.424	core
CENPE	KIF2C	0.54	0.212	0.205	0.003	0.171	0.626	core
CENPE	KIF4A	0.61	0.157	0.012	0.126	0.186	0.679	core
CENPE	KIF4B	0.38	0.07	0.059	0.004	0.062	0.552	core
CENPE	KIF11	0.597	0.239	0.092	0.011	0.196	0.607	core
CENPE	KIF14	0.536	0.104	0.028	0.001	0.07	0.626	core
CENPE	KIF15	0.498	0.362	0.084	0.011	0.183	0.604	core
CENPE	KIF18A	0.548	0.079	0.26	0.006	0.187	0.591	core
CENPE	KIF18B	0.4	0.09	0.262	0.011	0.119	0.539	core
CENPE	KIF20A	0.61	0.256	0.088	0.073	0.185	0.614	core
CENPE	KIF20B	0.52	0.279	0.055	0.083	0.199	0.532	core
CENPE	KIF22	0.337	0.165	0.174	0.007	0.188	0.495	core
CENPE	KIF23	0.569	0.214	0.053	0.005	0.168	0.617	core
CENPE	KIFC1	0.466	0.235	0.115	0.014	0.068	0.578	core
CENPE	KNL1	0.445	0.09	0.015	0.077	0.186	0.53	core
CENPE	KNSTRN	0.394	0.206	0.11	0.153	0.175	0.575	core
CENPE	KPNA2	0.305	0.165	0.067	0.004	0.184	0.484	core
CENPE	MAD2L1	0.477	0.238	0.023	0.127	0.187	0.605	core
CENPE	MAPK1	0.378	0.143	0.093	0.012	0.463	0.161	core
CENPE	MCM2	0.314	0.154	0.041	0.077	0.181	0.505	core
CENPE	MCM3	0.305	0.126	0.202	0.13	0.181	0.441	core
CENPE	MCM4	0.345	0.159	0.094	0.005	0.183	0.48	core
CENPE	MCM5	0.302	0.185	0.063	0.002	0.181	0.424	core
CENPE	MCM6	0.327	0.129	0.069	0.078	0.183	0.466	core
CENPE	MCM10	0.399	0.105	0.063	0.007	0.181	0.532	core
CENPE	MELK	0.463	0.158	0.018	0.142	0.122	0.572	core
CENPE	MKI67	0.581	0.248	0.058	0.008	0.188	0.595	core
CENPE	MND1	0.308	0.166	0.038	0.036	0.067	0.556	core
CENPE	NCAPD2	0.439	0.16	0.039	0.014	0.181	0.518	core
CENPE	NCAPD3	0.336	0.136	0.078	0.0	0.189	0.483	core
CENPE	NCAPG	0.626	0.292	0.127	0.089	0.181	0.638	core
CENPE	NCAPH	0.538	0.231	0.052	0.076	0.182	0.605	core
CENPE	NDC80	0.617	0.265	0.033	0.166	0.192	0.611	core
CENPE	NDE1	0.369	0.14	0.101	0.147	0.367	0.434	core
CENPE	NEK2	0.602	0.044	0.165	0.012	0.39	0.603	core
CENPE	NPM1	0.32	0.097	0.023	0.008	0.194	0.45	core
CENPE	NUF2	0.505	0.311	0.017	0.007	0.184	0.63	core
CENPE	NUP37	0.3	0.092	0.023	0.11	0.187	0.421	core
CENPE	NUSAP1	0.457	0.222	0.074	0.004	0.067	0.6	core
CENPE	OIP5	0.374	0.037	0.135	0.004	0.24	0.53	core
CENPE	ORC1	0.338	0.151	0.086	0.001	0.18	0.486	core
CENPE	ORC6	0.367	0.079	0.063	0.014	0.124	0.536	core
CENPE	PARPBP	0.359	0.001	0.001	0.17	0.079	0.521	core
CENPE	PBK	0.396	0.173	0.061	0.013	0.111	0.547	core
CENPE	PCLAF	0.34	0.123	0.016	0.125	0.18	0.481	core
CENPE	PCNA	0.316	0.122	0.067	0.014	0.181	0.458	core
CENPE	PLK1	0.527	0.224	0.044	0.143	0.192	0.587	core
CENPE	PLK4	0.452	0.005	0.083	0.007	0.095	0.616	core
CENPE	POLA1	0.308	0.112	0.011	0.012	0.186	0.436	core
CENPE	POLA2	0.31	0.165	0.019	0.002	0.18	0.445	core
CENPE	POLD1	0.301	0.301	0.042	0.074	0.184	0.415	core
CENPE	POLQ	0.315	0.119	0.025	0.002	0.064	0.516	core
CENPE	PRC1	0.682	0.067	0.058	0.015	0.467	0.611	core
CENPE	PRIM1	0.329	0.166	0.045	0.005	0.186	0.458	core
CENPE	PRR11	0.387	0.176	0.082	0.253	0.095	0.553	core
CENPE	PSMA8	0.406	0.077	0.03	0.007	0.109	0.484	core
CENPE	PSRC1	0.461	0.041	0.206	0.093	0.188	0.575	core
CENPE	RACGAP1	0.578	0.164	0.083	0.138	0.19	0.613	core
CENPE	RAD51	0.39	0.161	0.068	0.076	0.188	0.501	core
CENPE	RAD51AP1	0.364	0.167	0.032	0.185	0.104	0.556	core
CENPE	RAD54L	0.313	0.002	0.218	0.108	0.068	0.547	core
CENPE	RCC1	0.324	0.096	0.033	0.102	0.187	0.46	core
CENPE	RFC3	0.317	0.149	0.108	0.013	0.188	0.468	core
CENPE	RRM1	0.399	0.205	0.102	0.199	0.192	0.573	core
CENPE	RRM2	0.431	0.142	0.115	0.014	0.182	0.568	core
CENPE	SASS6	0.33	0.129	0.055	0.078	0.223	0.455	core
CENPE	SENP1	0.334	0.076	0.024	0.007	0.408	0.395	core
CENPE	SGO1	0.477	0.068	0.002	0.101	0.187	0.593	core
CENPE	SGO2	0.356	0.124	0.015	0.008	0.068	0.608	core
CENPE	SHCBP1	0.447	0.156	0.053	0.036	0.185	0.537	core
CENPE	SKA1	0.534	0.221	0.075	0.072	0.187	0.563	core
CENPE	SKA3	0.582	0.169	0.064	0.083	0.186	0.584	core
CENPE	SKP1	0.428	0.127	0.028	0.078	0.519	0.123	core
CENPE	SLF1	0.371	0.089	0.001	0.081	0.181	0.505	core
CENPE	SMC2	0.412	0.215	0.017	0.01	0.189	0.596	core
CENPE	SMC4	0.446	0.283	0.114	0.009	0.196	0.62	core
CENPE	SPAG5	0.587	0.212	0.068	0.081	0.399	0.573	core
CENPE	SPC24	0.383	0.275	0.092	0.015	0.192	0.49	core
CENPE	SPC25	0.506	0.194	0.094	0.09	0.194	0.592	core
CENPE	SPDL1	0.372	0.282	0.064	0.008	0.056	0.506	core
CENPE	STIL	0.461	0.069	0.157	0.105	0.188	0.595	core
CENPE	TACC3	0.303	0.113	0.18	0.009	0.188	0.553	core
CENPE	TIMELESS	0.31	0.159	0.059	0.094	0.169	0.483	core
CENPE	TNF	0.336	0.001	0.018	0.002	0.12	0.461	core
CENPE	TOP2A	0.648	0.193	0.001	0.093	0.196	0.629	core
CENPE	TPX2	0.611	0.21	0.085	0.001	0.186	0.677	core
CENPE	TROAP	0.32	0.02	0.099	0.036	0.291	0.464	core
CENPE	TTK	0.591	0.159	0.026	0.11	0.18	0.633	core
CENPE	TUBB	0.335	0.159	0.147	0.284	0.188	0.491	core
CENPE	TYMS	0.335	0.151	0.017	0.124	0.075	0.501	core
CENPE	UBE2C	0.37	0.146	0.091	0.126	0.12	0.536	core
CENPE	UBE2T	0.308	0.277	0.103	0.008	0.114	0.535	core
CENPE	UHRF1	0.342	0.154	0.011	0.008	0.181	0.487	core
CENPE	WDR62	0.343	0.077	0.145	0.0	0.194	0.462	core
CENPE	XRCC2	0.339	0.046	0.08	0.003	0.175	0.505	core
CENPE	ZWILCH	0.321	0.144	0.073	0.01	0.07	0.55	core
CENPE	ZWINT	0.368	0.1	0.021	0.005	0.094	0.579	core
CENPF	CENPH	0.337	0.256	0.049	0.093	0.24	0.493	core
CENPF	CENPI	0.506	0.209	0.004	0.005	0.241	0.545	core
CENPF	CENPJ	0.342	0.085	0.151	0.008	0.219	0.449	core
CENPF	CENPK	0.324	0.145	0.045	0.11	0.17	0.49	core
CENPF	CENPL	0.394	0.079	0.032	0.076	0.223	0.523	core
CENPF	CENPM	0.35	0.117	0.015	0.014	0.212	0.441	core
CENPF	CENPN	0.387	0.09	0.016	0.096	0.234	0.494	core
CENPF	CENPO	0.421	0.089	0.108	0.147	0.209	0.533	core
CENPF	CENPQ	0.405	0.097	0.015	0.006	0.211	0.492	core
CENPF	CENPS	0.322	0.004	0.002	0.077	0.172	0.315	core
CENPF	CENPU	0.369	0.241	0.073	0.131	0.38	0.553	core
CENPF	CEP55	0.544	0.414	0.065	0.005	0.284	0.576	core
CENPF	CEP128	0.318	0.215	0.065	0.011	0.286	0.413	core
CENPF	CHAF1A	0.37	0.328	0.041	0.105	0.224	0.536	core
CENPF	CHAF1B	0.306	0.424	0.142	0.005	0.243	0.475	core
CENPF	CHAMP1	0.33	0.145	0.293	0.085	0.24	0.457	core
CENPF	CHEK1	0.51	0.291	0.0	0.137	0.203	0.563	core
CENPF	CHEK2	0.358	0.234	0.018	0.204	0.233	0.476	core
CENPF	CKAP2	0.464	0.289	0.016	0.093	0.198	0.534	core
CENPF	CKAP2L	0.464	0.164	0.075	0.012	0.077	0.599	core
CENPF	CKAP5	0.434	0.216	0.022	0.009	0.249	0.557	core
CENPF	CKS2	0.353	0.267	0.108	0.036	0.216	0.463	core
CENPF	CLSPN	0.396	0.129	0.104	0.077	0.205	0.488	core
CENPF	CNTRL	0.305	0.205	0.001	0.003	0.381	0.352	core
CENPF	DAB2	0.305	0.146	0.023	0.002	0.256	0.46	core
CENPF	DEPDC1	0.357	0.038	0.33	0.003	0.184	0.537	core
CENPF	DLGAP5	0.596	0.138	0.128	0.011	0.214	0.59	core
CENPF	DNA2	0.342	0.002	0.012	0.012	0.126	0.526	core
CENPF	DNMT1	0.302	0.318	0.031	0.014	0.17	0.494	core
CENPF	DSCC1	0.414	0.218	0.002	0.098	0.213	0.49	core
CENPF	DSN1	0.329	0.204	0.049	0.171	0.233	0.481	core
CENPF	DTL	0.502	0.319	0.024	0.078	0.266	0.581	core
CENPF	E2F1	0.3	0.039	0.184	0.322	0.156	0.473	core
CENPF	E2F7	0.322	0.07	0.033	0.077	0.153	0.478	core
CENPF	ECT2	0.553	0.315	0.058	0.001	0.266	0.578	core
CENPF	EPGN	0.342	0.04	0.0	0.141	0.093	0.446	core
CENPF	ERCC6L	0.39	0.38	0.012	0.176	0.184	0.567	core
CENPF	ESCO2	0.347	0.062	0.134	0.011	0.175	0.54	core
CENPF	ESPL1	0.418	0.294	0.073	0.073	0.296	0.531	core
CENPF	EXO1	0.43	0.055	0.208	0.012	0.264	0.606	core
CENPF	EZH2	0.337	0.48	0.059	0.007	0.207	0.442	core
CENPF	FAM83D	0.551	0.344	0.052	0.002	0.257	0.59	core
CENPF	FANCI	0.314	0.38	0.022	0.009	0.174	0.542	core
CENPF	FANCM	0.309	0.138	0.056	0.01	0.179	0.418	core
CENPF	FBXO5	0.392	0.001	0.248	0.077	0.211	0.53	core
CENPF	FEN1	0.373	0.23	0.086	0.089	0.233	0.474	core
CENPF	FOXM1	0.393	0.053	0.097	0.128	0.174	0.556	core
CENPF	GEN1	0.301	0.061	0.098	0.006	0.08	0.509	core
CENPF	GMNN	0.325	0.318	0.105	0.013	0.227	0.521	core
CENPF	GPSM2	0.316	0.164	0.04	0.176	0.181	0.435	core
CENPF	GSG2	0.443	0.003	0.166	0.008	0.291	0.517	core
CENPF	GTSE1	0.552	0.219	0.099	0.078	0.281	0.571	core
CENPF	H2AFX	0.344	0.097	0.037	0.091	0.305	0.427	core
CENPF	HAUS1	0.33	0.325	0.035	0.083	0.213	0.426	core
CENPF	HAUS2	0.332	0.273	0.016	0.003	0.307	0.4	core
CENPF	HAUS8	0.324	0.205	0.081	0.01	0.206	0.5	core
CENPF	HELLS	0.311	0.327	0.018	0.036	0.295	0.453	core
CENPF	HJURP	0.563	0.303	0.022	0.082	0.224	0.572	core
CENPF	HMGB2	0.311	0.131	0.002	0.0	0.272	0.486	core
CENPF	HMMR	0.524	0.376	0.099	0.014	0.245	0.544	core
CENPF	IFNG	0.31	0.066	0.023	0.01	0.145	0.392	core
CENPF	INCENP	0.393	0.46	0.035	0.015	0.206	0.524	core
CENPF	IQGAP3	0.376	0.21	0.026	0.008	0.214	0.469	core
CENPF	KIF2C	0.58	0.431	0.279	0.014	0.198	0.59	core
CENPF	KIF4A	0.608	0.317	0.004	0.082	0.262	0.617	core
CENPF	KIF4B	0.396	0.071	0.013	0.229	0.062	0.577	core
CENPF	KIF11	0.639	0.494	0.129	0.301	0.19	0.646	core
CENPF	KIF14	0.57	0.325	0.025	0.204	0.107	0.649	core
CENPF	KIF15	0.522	0.456	0.114	0.095	0.242	0.603	core
CENPF	KIF18A	0.513	0.101	0.043	0.008	0.245	0.549	core
CENPF	KIF18B	0.439	0.182	0.284	0.011	0.102	0.558	core
CENPF	KIF20A	0.592	0.278	0.119	0.141	0.257	0.588	core
CENPF	KIF20B	0.511	0.267	0.023	0.156	0.198	0.569	core
CENPF	KIF22	0.385	0.424	0.068	0.08	0.248	0.485	core
CENPF	KIF23	0.603	0.354	0.106	0.1	0.196	0.612	core
CENPF	KIFC1	0.518	0.475	0.087	0.007	0.123	0.573	core
CENPF	KNL1	0.557	0.122	0.003	0.012	0.204	0.569	core
CENPF	KNSTRN	0.386	0.286	0.088	0.005	0.161	0.539	core
CENPF	KNTC1	0.382	0.457	0.296	0.137	0.225	0.518	core
CENPF	KPNA2	0.31	0.433	0.039	0.007	0.22	0.414	core
CENPF	LIG1	0.339	0.291	0.032	0.001	0.401	0.401	core
CENPF	LMNB2	0.316	0.065	0.022	0.036	0.237	0.483	core
CENPF	MAD2L1	0.466	0.383	0.016	0.013	0.218	0.584	core
CENPF	MCM2	0.415	0.308	0.026	0.008	0.217	0.523	core
CENPF	MCM3	0.406	0.239	0.001	0.001	0.23	0.477	core
CENPF	MCM4	0.47	0.297	0.017	0.073	0.213	0.536	core
CENPF	MCM5	0.331	0.307	0.055	0.102	0.247	0.451	core
CENPF	MCM6	0.387	0.328	0.0	0.007	0.194	0.496	core
CENPF	MCM7	0.316	0.317	0.085	0.009	0.197	0.472	core
CENPF	MCM8	0.316	0.1	0.238	0.015	0.162	0.485	core
CENPF	MCM10	0.41	0.203	0.086	0.102	0.209	0.544	core
CENPF	MELK	0.413	0.264	0.101	0.002	0.163	0.558	core
CENPF	MKI67	0.602	0.302	0.302	0.01	0.235	0.61	core
CENPF	MMS22L	0.311	0.142	0.108	0.001	0.137	0.491	core
CENPF	MND1	0.326	0.091	0.013	0.036	0.07	0.488	core
CENPF	NCAPD2	0.598	0.508	0.065	0.01	0.226	0.545	core
CENPF	NCAPD3	0.501	0.29	0.183	0.116	0.261	0.52	core
CENPF	NCAPG	0.598	0.37	0.198	0.072	0.23	0.603	core
CENPF	NCAPG2	0.345	0.382	0.259	0.01	0.249	0.495	core
CENPF	NCAPH	0.575	0.411	0.04	0.008	0.213	0.61	core
CENPF	NDC80	0.672	0.493	0.05	0.106	0.24	0.591	core
CENPF	NDE1	0.34	0.173	0.073	0.001	0.266	0.415	core
CENPF	NDEL1	0.398	0.143	0.014	0.015	0.517	0.165	core
CENPF	NEDD1	0.314	0.141	0.015	0.071	0.295	0.437	core
CENPF	NEK2	0.648	0.001	0.23	0.149	0.227	0.658	core
CENPF	NPM1	0.333	0.095	0.049	0.007	0.292	0.495	core
CENPF	NUF2	0.554	0.444	0.013	0.013	0.23	0.623	core
CENPF	NUP62	0.321	0.11	0.026	0.014	0.246	0.406	core
CENPF	NUP107	0.302	0.117	0.09	0.014	0.245	0.517	core
CENPF	NUP155	0.316	0.378	0.07	0.078	0.271	0.38	core
CENPF	NUSAP1	0.52	0.317	0.024	0.082	0.07	0.622	core
CENPF	OIP5	0.316	0.041	0.051	0.085	0.318	0.502	core
CENPF	ORC1	0.363	0.242	0.176	0.015	0.209	0.479	core
CENPF	ORC6	0.355	0.09	0.079	0.003	0.17	0.538	core
